['19', '0', 2, 3, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 0, 1, 0, 0, 0, 8, 0, 4, 1, 0, 0, 0, 0, 3, 2, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 1, 1, 3, 0, 0, 0, 1, 0, 2, 0, 3, 1, 0, 2, 1]]
['4', '19', 8, 6, [0, 3, 0, 1, 0, 0, 0, 8, 0, 4, 1, 0, 0, 0, 0, 3, 2, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 1, 1, 3, 0, 0, 0, 1, 0, 2, 0, 3, 1, 0, 2, 1], [2, 3, 1, 0, 0, 3, 2, 9, 7, 1, 2, 2, 0, 0, 2, 1, 8, 9, 10, 2, 6, 0, 0, 0, 0, 1, 0, 4, 0, 9, 0, 8, 3, 9, 1, 0, 0, 0, 0, 0, 1, 1, 4, 0, 1, 1, 0, 0, 2, 4, 2, 1, 0, 2, 0, 3, 0, 1, 9, 0]]
['4', '6', 11, 12, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 9, 3, 0, 2, 5, 1, 0, 1, 1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 9, 1, 2, 1, 2, 0, 0, 0, 3, 0, 3, 3, 8, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 9, 0, 3, 2, 1, 3, 1, 0, 10, 2, 0, 2, 0, 1]]
['4', '8', 14, 12, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 2, 0, 0, 0, 5, 2, 3, 7, 0, 0, 0, 2, 0, 0, 0, 1, 0, 3, 0, 3, 0, 0, 3, 0, 0, 2, 3, 0, 0, 5, 0, 10, 3, 3, 6, 1, 1, 0, 0, 0, 2, 5, 4, 0, 0, 3, 0, 0, 0, 0, 7, 0, 0, 0, 3, 2, 1, 0, 0]]
['27', '4', 14, 15, [1, 2, 0, 0, 0, 5, 2, 3, 7, 0, 0, 0, 2, 0, 0, 0, 1, 0, 3, 0, 3, 0, 0, 3, 0, 0, 2, 3, 0, 0, 5, 0, 10, 3, 3, 6, 1, 1, 0, 0, 0, 2, 5, 4, 0, 0, 3, 0, 0, 0, 0, 7, 0, 0, 0, 3, 2, 1, 0, 0], [0, 5, 3, 0, 3, 8, 0, 3, 5, 0, 2, 2, 0, 1, 0, 5, 1, 1, 8, 0, 4, 0, 0, 6, 3, 2, 5, 6, 0, 2, 8, 3, 10, 3, 3, 6, 3, 0, 0, 0, 3, 5, 5, 2, 2, 1, 6, 0, 0, 3, 0, 5, 0, 2, 0, 0, 5, 0, 6, 6]]
['3', '27', 20, 18, [0, 5, 3, 0, 3, 8, 0, 3, 5, 0, 2, 2, 0, 1, 0, 5, 1, 1, 8, 0, 4, 0, 0, 6, 3, 2, 5, 6, 0, 2, 8, 3, 10, 3, 3, 6, 3, 0, 0, 0, 3, 5, 5, 2, 2, 1, 6, 0, 0, 3, 0, 5, 0, 2, 0, 0, 5, 0, 6, 6], [1, 3, 0, 5, 4, 9, 3, 3, 4, 0, 6, 5, 0, 0, 6, 2, 7, 4, 8, 1, 4, 0, 2, 5, 3, 0, 1, 3, 3, 2, 6, 3, 10, 3, 4, 7, 4, 0, 0, 0, 3, 3, 6, 2, 2, 4, 0, 0, 6, 3, 1, 7, 0, 0, 1, 3, 4, 0, 8, 7]]
['5', '3', 23, 24, [1, 3, 0, 5, 4, 9, 3, 3, 4, 0, 6, 5, 0, 0, 6, 2, 7, 4, 8, 1, 4, 0, 2, 5, 3, 0, 1, 3, 3, 2, 6, 3, 10, 3, 4, 7, 4, 0, 0, 0, 3, 3, 6, 2, 2, 4, 0, 0, 6, 3, 1, 7, 0, 0, 1, 3, 4, 0, 8, 7], [4, 3, 3, 8, 4, 8, 5, 6, 0, 1, 7, 5, 9, 0, 0, 1, 9, 7, 7, 2, 4, 3, 0, 6, 0, 0, 0, 5, 5, 4, 6, 5, 10, 1, 5, 7, 4, 2, 2, 0, 3, 3, 6, 4, 2, 4, 0, 3, 6, 3, 0, 8, 0, 0, 0, 1, 4, 0, 8, 5]]
['13', '5', 29, 30, [4, 3, 3, 8, 4, 8, 5, 6, 0, 1, 7, 5, 9, 0, 0, 1, 9, 7, 7, 2, 4, 3, 0, 6, 0, 0, 0, 5, 5, 4, 6, 5, 10, 1, 5, 7, 4, 2, 2, 0, 3, 3, 6, 4, 2, 4, 0, 3, 6, 3, 0, 8, 0, 0, 0, 1, 4, 0, 8, 5], [7, 5, 2, 5, 7, 9, 6, 8, 6, 1, 7, 5, 10, 0, 1, 0, 9, 7, 8, 3, 2, 3, 0, 8, 0, 8, 0, 6, 2, 3, 8, 6, 10, 0, 2, 4, 5, 0, 0, 0, 5, 5, 7, 2, 3, 4, 3, 1, 6, 0, 0, 4, 10, 0, 2, 0, 1, 3, 9, 7]]
['13', '2', 35, 36, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 3, 2, 0, 0, 1, 0, 0, 0, 0, 2, 9, 0, 3, 2, 1, 0, 0, 9, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 2, 1, 1, 3, 0, 1, 8, 0, 0, 0, 0, 0, 3, 2, 0, 0, 1]]
['6', '13', 41, 39, [0, 2, 3, 2, 0, 0, 1, 0, 0, 0, 0, 2, 9, 0, 3, 2, 1, 0, 0, 9, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 2, 1, 1, 3, 0, 1, 8, 0, 0, 0, 0, 0, 3, 2, 0, 0, 1], [2, 1, 8, 4, 0, 0, 0, 1, 1, 0, 0, 4, 6, 0, 5, 2, 2, 3, 3, 7, 2, 9, 0, 0, 2, 2, 4, 0, 2, 0, 0, 5, 6, 7, 3, 0, 2, 1, 0, 2, 7, 0, 10, 1, 0, 6, 5, 0, 1, 4, 0, 0, 3, 0, 1, 0, 1, 2, 3, 3]]
